,title,id
0,"The Hunger Games (The Hunger Games, #1)",2767052-the-hunger-games
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2.Harry_Potter_and_the_Order_of_the_Phoenix
2,To Kill a Mockingbird,2657.To_Kill_a_Mockingbird
3,Pride and Prejudice,1885.Pride_and_Prejudice
4,"Twilight (The Twilight Saga, #1)",41865.Twilight
5,The Book Thief,19063.The_Book_Thief
6,Animal Farm,170448.Animal_Farm
7,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",11127.The_Chronicles_of_Narnia
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,30.J_R_R_Tolkien_4_Book_Boxed_Set
9,The Fault in Our Stars,11870085-the-fault-in-our-stars
10,Gone with the Wind,18405.Gone_with_the_Wind
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",386162.The_Hitchhiker_s_Guide_to_the_Galaxy
12,The Giving Tree,370493.The_Giving_Tree
13,Wuthering Heights,6185.Wuthering_Heights
14,The Picture of Dorian Gray,5297.The_Picture_of_Dorian_Gray
15,"The Da Vinci Code (Robert Langdon, #2)",968.The_Da_Vinci_Code
16,Memoirs of a Geisha,929.Memoirs_of_a_Geisha
17,Jane Eyre,10210.Jane_Eyre
18,Alice's Adventures in Wonderland / Through the Looking-Glass,24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
19,Les Misérables,24280.Les_Mis_rables
20,Fahrenheit 451,13079982-fahrenheit-451
21,"Divergent (Divergent, #1)",13335037-divergent
22,The Perks of Being a Wallflower,22628.The_Perks_of_Being_a_Wallflower
23,The Great Gatsby,4671.The_Great_Gatsby
24,Lord of the Flies,7624.Lord_of_the_Flies
25,The Alchemist,18144590-the-alchemist
26,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3.Harry_Potter_and_the_Sorcerer_s_Stone
27,Crime and Punishment,7144.Crime_and_Punishment
28,Romeo and Juliet,18135.Romeo_and_Juliet
29,The Little Prince,157993.The_Little_Prince
30,"City of Bones (The Mortal Instruments, #1)",256683.City_of_Bones
31,The Help,4667024-the-help
32,"Ender's Game (Ender's Saga, #1)",375802.Ender_s_Game
33,"Anne of Green Gables (Anne of Green Gables, #1)",8127.Anne_of_Green_Gables
34,Charlotte's Web,24178.Charlotte_s_Web
35,Of Mice and Men,890.Of_Mice_and_Men
36,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187.The_Lightning_Thief
37,The Time Traveler's Wife,18619684-the-time-traveler-s-wife
38,Dracula,17245.Dracula
39,Brave New World,5129.Brave_New_World
40,One Hundred Years of Solitude,320.One_Hundred_Years_of_Solitude
41,The Catcher in the Rye,5107.The_Catcher_in_the_Rye
42,The Princess Bride,21787.The_Princess_Bride
43,A Thousand Splendid Suns,128029.A_Thousand_Splendid_Suns
44,The Secret Garden,2998.The_Secret_Garden
45,"A Game of Thrones (A Song of Ice and Fire, #1)",13496.A_Game_of_Thrones
46,"A Wrinkle in Time (Time Quintet, #1)",33574273-a-wrinkle-in-time
47,The Outsiders,231804.The_Outsiders
48,The Adventures of Huckleberry Finn,2956.The_Adventures_of_Huckleberry_Finn
49,The Lovely Bones,12232938-the-lovely-bones
50,Where the Wild Things Are,19543.Where_the_Wild_Things_Are
51,The Odyssey,1381.The_Odyssey
52,Green Eggs and Ham,23772.Green_Eggs_and_Ham
53,Life of Pi,4214.Life_of_Pi
54,A Tale of Two Cities,1953.A_Tale_of_Two_Cities
55,Water for Elephants,43641.Water_for_Elephants
56,Lolita,7604.Lolita
57,The Kite Runner,77203.The_Kite_Runner
58,Frankenstein: The 1818 Text,35031085-frankenstein
